x,Curve1,Curve2
-0.0295254,-0.0295254,0.0204082
-0.0263508,0.0204082,0.0204082
-0.0231762,0.0204082,0.0204082
-0.0200016,0.0204082,0.0204082
-0.0165047,-0.0408163,0.0847311
-0.0155637,-0.0676424,0.102041
-0.0136411,-0.122449,0.203587
-0.0120862,-0.2219,0.285714
-0.0114075,-0.265306,0.329566
-0.00987528,-0.395753,0.428571
-0.0094898,-0.428571,0.483709
-0.0083058,-0.529371,0.653061
-0.00757208,-0.591837,0.73875
-0.00673307,-0.663265,0.836735
-0.00565436,-0.755102,0.991028
-0.00516359,-0.710615,1.06122
-0.00407839,-0.612245,1.20219
-0.00390671,-0.549788,1.22449
-0.00346129,-0.387755,1.21224
-0.00316003,-0.183673,1.20396
-0.00285876,0.0204082,1.19568
-0.0025575,0.22449,1.1874
-0.00227243,0.632653,1.17956
-0.00225624,0.428571,1.17912
-0.00197117,0.836735,1.17128
-0.0016942,1.34694,1.16367
-0.00167962,1.16327,1.16327
-0.00166991,1.04082,1.16172
-0.00108034,1.61224,1.06816
-0.000779074,1.81633,1.02036
-0.00047781,2.02041,0.972549
-0.000393586,2.03135,0.959184
0.000150632,2.10204,0.844516
0.000574992,1.98203,0.755102
0.00080013,1.91837,0.698367
0.00122287,1.78587,0.591837
0.00145125,1.71429,0.559896
0.0017849,1.5102,0.513231
0.00211856,1.30612,0.466566
0.00245222,1.10204,0.419902
0.00278588,0.897959,0.373237
0.00282799,0.872201,0.367347
0.00311953,0.693878,0.359036
0.00408811,0.489796,0.331425
0.00569161,0.285714,0.285714
0.00601231,0.276572,0.244898
0.00855523,0.204082,0.204082
0.0114172,0.142857,0.142857
0.0145951,0.102041,0.102041
0.0174522,0.102041,0.102041
0.0206301,0.0612245,0.0612245
0.023803,0.0816327,0.0816327
0.0266634,0.0408163,0.0408163
