z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,206.106973502,1.12721779091e-139,1450.0,1.1612248769626614,3.41215811966e-09,8.95467775798e-12,2.04444756377e-12,0.190114063757,6.01393997081e-12,6.35703331824e-09,1.30781646419e-10,7.71621731769e-12,1.42644264603e-18,1.46870384991e-20,3.37748548466e-15,5.03106772676e-16,1.36346075333e-09,0.0950570257278,4.79094118446e-10,5.6810805988e-12,4.66730868209e-14,2.46390159837e-09,3.69810659344e-16,5.00380133409e-13,3.03368529673e-11,-1.86776334871e-18,1.25248536421e-13,2.85956834147e-16,1.04565379131e-10,3.93289075903e-13,8.88258178171e-10,2.30250826733e-18,4.4824287104e-13,6.67256236555e-18,-4.38746641088e-19,3.72047362924e-21,5.66422111676e-23,7.02961724106e-23,7.41331606229e-18,3.1928512162e-18,1.56715939897e-19,1.09071532749e-14,2.01171389929e-21,6.99177234904e-19,6.17336416913e-20,9.43146595558e-24,1.08057314751e-22,-2.95376795358e-20,1.04007222355e-24,-6.17956240365e-20,2.98354444662e-23,0.714828895253,-4.76088491164e-139,3.29409879179e-17,2.27212656947e-13,4.74480776947e-16,9.03434817157e-15
0.016,206.28804761,1.12721778671e-139,1451.24311968,1.1602055849529822,5.17651005538e-05,8.16660383386e-08,7.21685238718e-08,0.189878799435,2.16367324963e-07,0.000263186105073,7.11069514802e-06,4.22387275429e-07,7.72411390976e-22,4.84699353671e-16,1.62669476616e-10,2.42310783473e-11,6.71695194957e-05,0.0946635284787,2.62304890579e-05,3.81452205309e-07,2.91066230967e-09,0.000154922320687,2.37152712347e-11,3.20884492137e-08,1.95238213209e-06,4.15064727531e-16,8.07725337863e-09,1.86199762783e-11,6.80989018434e-06,2.78799135824e-08,6.34860408934e-05,1.00585304551e-13,3.32097852229e-08,4.94363406564e-13,9.25901300071e-17,1.24680260487e-16,1.93787327673e-18,1.91253004416e-19,4.15929329637e-13,1.76207338553e-13,9.71100044215e-15,7.43282637144e-10,1.0946283364e-16,2.1634260364e-22,3.61474362003e-15,5.97214463144e-19,4.72056571278e-18,2.13124193636e-19,7.0565219373e-20,1.25490107148e-18,2.01485177681e-18,0.714813738748,-4.76078397136e-139,3.01655027707e-12,2.0900186105e-08,3.53177584678e-11,6.75493618888e-10
0.032,206.774955808,1.12721778252e-139,1454.59399339,1.1574735635194364,0.000189503377737,2.15556265666e-07,1.46186751514e-07,0.189361768242,4.83249073022e-07,0.000861951877728,1.37675420966e-05,9.3458311044e-07,7.60866619368e-21,1.92630750705e-15,5.5053728051e-10,8.4923347822e-11,0.000110482355056,0.093844922918,0.000137741567306,1.90164836619e-06,1.26005327745e-08,0.000436142071917,1.31229203716e-10,8.22212876668e-08,6.95142564334e-06,7.44566066614e-15,6.3876363778e-08,1.685711834e-10,3.20022286134e-05,1.03986951235e-07,0.000223232956171,2.20729769683e-12,3.32071226307e-07,9.18461315277e-12,2.00554078197e-16,8.25817929369e-16,3.93235918028e-17,1.37418402975e-17,1.09468388604e-12,6.42868509438e-13,7.37202736081e-14,2.2272644616e-09,7.25897685849e-16,6.57315855825e-22,1.78701597074e-14,2.12080828611e-18,1.8627000049e-17,3.23325551239e-18,8.45229515999e-19,2.73448712577e-17,2.2750493428e-17,0.714777107917,-4.76054001308e-139,2.52091535416e-11,1.40473813215e-07,3.16019640281e-10,5.55026320298e-09
0.04,207.119631527,1.12721778043e-139,1456.95224815,1.155547367391377,0.000289786036748,3.10991723803e-07,1.90781119602e-07,0.189006859254,6.58501830523e-07,0.00127435143725,1.78971316299e-05,1.29362645869e-06,2.10865576673e-20,3.69498932679e-15,8.50351733446e-10,1.33006798735e-10,0.000129496630534,0.0933010862447,0.00022981781624,3.18571196269e-06,2.09586752423e-08,0.000608483467088,2.41798120061e-10,1.17262596048e-07,1.04940794475e-05,1.89673354378e-14,1.18128652792e-07,3.5220918078e-10,5.22138421949e-05,1.67344301211e-07,0.00032802089624,5.84760942985e-12,6.43315349701e-07,2.01518987191e-11,2.76190205807e-16,1.65902335146e-15,9.33960674257e-17,3.8116417721e-17,1.58162330478e-12,1.00405290843e-12,1.36539341053e-13,3.21111854649e-09,1.45352406281e-15,1.56141383335e-21,3.0782842305e-14,3.40056053136e-18,3.55181350814e-17,6.90094299637e-18,1.75498482578e-18,6.46704314971e-17,4.79535111483e-17,0.714744519653,-4.76032297561e-139,5.00763491858e-11,2.50754888478e-07,6.52879024432e-10,1.06128629335e-08
0.048,207.606470149,1.12721777835e-139,1460.25669011,1.1528376007479315,0.000436598979518,4.49701771834e-07,2.50926386125e-07,0.188513510543,9.04300115478e-07,0.00184807413511,2.32924153738e-05,1.80339760075e-06,6.2296362118e-20,7.53371515011e-15,1.31586792881e-09,2.08393473919e-10,0.000150624574925,0.0925718179769,0.000378452111621,5.40822196682e-06,3.40934831664e-08,0.000819254540668,4.37720100428e-10,1.67396157381e-07,1.55022555286e-05,5.04132693235e-14,2.25181473883e-07,7.38071459694e-10,8.4564148884e-05,2.68763622582e-07,0.000461314632701,1.61933524271e-11,1.29068045761e-06,4.88668992047e-11,3.93607422979e-16,3.33112695476e-15,2.38340753274e-16,1.30837117266e-16,2.2940108333e-12,1.59165669017e-12,2.59877623222e-13,4.52966318244e-09,2.91302182329e-15,3.93089451446e-21,5.55339330954e-14,5.57551190504e-18,7.1854930016e-17,1.60138564264e-17,4.00873905159e-18,1.73723029819e-16,1.01921205824e-16,0.714685712258,-4.75993131645e-139,9.93547421705e-11,4.48914547211e-07,1.34474019988e-09,2.11077279875e-08
0.056,208.31790953,1.12721777627e-139,1465.04248492,1.1489004737325557,0.000659517062551,6.7159945618e-07,3.41794811367e-07,0.187800684789,1.28484378123e-06,0.00267620461429,3.07061362143e-05,2.56202858056e-06,2.13667691908e-19,1.72506973461e-14,2.13837945176e-09,3.42201848781e-10,0.000177493599925,0.0915597230736,0.000622101090887,9.5073285748e-06,5.6382990265e-08,0.00108267973311,8.08176292901e-10,2.45812433177e-07,2.27683160148e-05,1.45642718944e-13,4.47894151224e-07,1.62079632392e-09,0.000138127354054,4.46749194748e-07,0.000631631552175,4.84501917785e-11,2.69333194218e-06,1.29871460134e-10,6.07482645045e-16,7.01193637967e-15,6.30374950844e-16,4.9725705899e-16,3.44318508206e-12,2.63924084029e-12,5.10808702422e-13,6.34880402332e-09,6.10855847687e-15,1.12153972903e-20,1.09011532662e-13,9.95540987763e-18,1.62796659412e-16,4.11859254851e-17,1.02904628989e-17,5.0737488139e-16,2.15084198774e-16,0.714579229257,-4.75922213236e-139,2.05405578354e-10,8.16856613427e-07,2.8750792742e-09,4.42749439521e-08
0.06,208.750068245,1.12721777523e-139,1467.93613797,1.1465219961776114,0.000797502608175,8.22790402425e-07,4.01335424679e-07,0.187369594733,1.53845800874e-06,0.00317628996609,3.52008562217e-05,3.04741481625e-06,4.05255874063e-19,2.66585965301e-14,2.74719399217e-09,4.41484465057e-10,0.000193008139734,0.0909604744621,0.000777595591262,1.22951065227e-05,7.23120966809e-08,0.00123024768186,1.09076282176e-09,2.98390830314e-07,2.71519574693e-05,2.39466569923e-13,6.06948949011e-07,2.36825235202e-09,0.00017261706049,5.76187708392e-07,0.000727441331989,8.04097068319e-11,3.71010367279e-06,1.95672082467e-10,7.73113869222e-16,1.01411516696e-14,9.60375578614e-16,8.33791988217e-16,4.23188849089e-12,3.35345578799e-12,6.86616888365e-13,7.42122885637e-09,8.79405036832e-15,1.86461782744e-20,1.49330967561e-13,1.36006642351e-17,2.50021174668e-16,6.20588117842e-17,1.54533859545e-17,7.87558113087e-16,2.97380540909e-16,0.714508357452,-4.75875011989e-139,2.90534387241e-10,1.06866758841e-06,4.13033824684e-09,6.16691949707e-08
0.064,209.284266202,1.1272177742e-139,1471.49568385,1.1435954995073554,0.000971486920692,1.02504146926e-06,4.79096645724e-07,0.186838877042,1.87256013809e-06,0.00379088077012,4.06860624604e-05,3.66129428813e-06,8.18557120624e-19,4.31251939505e-14,3.61702470928e-09,5.83306951705e-10,0.000211511569085,0.0902391950369,0.000979044132485,1.6186473859e-05,9.41912468129e-08,0.00139739429774,1.49802952363e-09,3.67548584987e-07,3.25170662378e-05,4.10391596445e-13,8.40838741426e-07,3.55775860837e-09,0.000217809204572,7.56165165635e-07,0.000835823176705,1.38833372506e-10,5.22213130685e-06,3.06720984938e-10,1.02317054548e-15,1.50855414491e-14,1.52559177047e-15,1.48319604854e-15,5.29359778859e-12,4.36356819509e-12,9.39031089284e-13,8.70494040399e-09,1.30290030003e-14,3.29484019522e-20,2.13240039704e-13,1.94046076067e-17,4.01446865447e-16,9.86020373379e-17,2.44511321185e-17,1.27457005486e-15,4.1832704612e-16,0.714412736229,-4.75811327348e-139,4.22126348629e-10,1.41962824161e-06,6.07518126613e-09,8.86072983111e-08
0.068,209.959909257,1.12721777317e-139,1475.97426043,1.139915452397706,0.00119618609304,1.30564942017e-06,5.84431742031e-07,0.186170273426,2.32834771914e-06,0.00456338008429,4.75430946405e-05,4.45252216584e-06,1.7933050042e-18,7.39633728132e-14,4.91865663384e-09,7.95238127151e-10,0.000234230716083,0.0893526343794,0.00124560739186,2.17992103653e-05,1.25436220641e-07,0.00158927521349,2.10887733865e-09,4.61444576987e-07,3.92060063752e-05,7.41993566825e-13,1.19812092585e-06,5.5433924088e-09,0.000278358968493,1.01492351715e-06,0.000959265138928,2.51939725097e-10,7.54629692451e-06,5.03531514372e-10,1.4282877743e-15,2.32786133982e-14,2.52810936285e-15,2.80476881651e-15,6.77805524585e-12,5.85920958811e-12,1.31334248496e-12,1.02729076576e-08,1.99997141877e-14,6.30049132837e-20,3.21238342223e-13,2.93660231345e-17,6.82180637576e-16,1.67357625736e-16,4.13609103492e-17,2.1606467553e-15,6.02202870104e-16,0.714281136421,-4.75723680544e-139,6.35316927154e-10,1.92038081802e-06,9.21394761721e-09,1.32042639063e-07
0.072,210.841793109,1.12721777214e-139,1481.78642862,1.135147550291033,0.00149612843332,1.715177186e-06,7.34488969402e-07,0.185300991096,2.98126266396e-06,0.00556470550952,5.6418100524e-05,5.50260720167e-06,4.3894650376e-18,1.37301404333e-13,6.99374050585e-09,1.132104876e-09,0.000263216563077,0.0882312148833,0.00160928476023,3.02586280794e-05,1.72477767046e-07,0.00181343999249,3.07775496693e-09,5.94639282523e-07,4.77602019792e-05,1.44315253373e-12,1.77315344711e-06,9.08183402726e-09,0.00036197708608,1.40449022131e-06,0.00110103854165,4.88723300856e-10,1.12842713759e-05,8.76298753597e-10,2.15173361768e-15,3.78351035778e-14,4.4165274105e-15,5.68594648925e-15,8.96561747824e-12,8.21569876151e-12,1.89408278036e-12,1.22435106674e-08,3.22703177885e-14,1.34181272599e-19,5.20264963377e-13,4.83287957402e-17,1.25143525514e-15,3.10336103778e-16,7.65694665934e-17,3.88457049998e-15,9.00078330925e-16,0.714094490336,-4.75599372255e-139,1.00338858566e-09,2.6577471716e-06,1.45706193795e-08,2.06063391483e-07
