z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,18.5068455965,0.0,1450.0,1.16122462380215,2.40012823113e-07,9.31101769125e-10,2.47104450001e-10,0.190113702723,6.9837088634e-10,4.83570115984e-07,1.72392656641e-08,9.58468787282e-10,-6.76535350129e-16,1.50625293874e-18,2.81235358239e-13,4.12356074801e-14,1.78154944116e-07,0.0950563534806,2.0957027959e-08,2.94609920115e-10,3.03510705747e-12,2.03518990758e-07,2.18314791428e-14,5.33853712429e-11,2.10927742126e-09,1.13060127699e-19,3.55893839191e-12,9.65881979831e-15,5.39473170093e-09,3.0662180986e-11,5.44108780069e-08,3.32489097073e-17,1.01375570506e-11,2.90292572787e-16,-5.24824583428e-17,2.15517297897e-19,9.30715164121e-22,2.44709282302e-17,7.8908107137e-16,2.36608084198e-16,5.5076799103e-18,9.29277280201e-13,1.15876322969e-19,-1.52067398019e-17,-1.35203571545e-16,7.75350184282e-22,1.10909439649e-20,1.72289193066e-19,6.48107207641e-17,-2.33908076699e-16,-2.28664273837e-20,0.714828735187,0.0,1.14107773128e-15,8.59407227786e-12,1.60439816912e-14,3.07976254236e-13
0.0009375,18.5122103029,0.0,1450.4023918,1.1608881091966876,1.940556517e-05,4.5624935684e-08,4.61610149421e-08,0.19001624636,1.32952965558e-07,0.000105866186861,4.95100838506e-06,2.77130224109e-07,-3.51832380333e-20,2.6316019398e-16,7.15791292969e-11,1.04951557229e-11,4.637620944e-05,0.0948898854548,6.06058294289e-06,1.0441903681e-07,9.99349245354e-10,6.75624418765e-05,7.39116034884e-12,1.80738939457e-08,7.16646844818e-07,3.81021947652e-17,1.21161570898e-09,3.32019776144e-12,1.85474340256e-06,1.14720581776e-08,2.05246736104e-05,7.67872763126e-15,3.96358530023e-09,3.10743601673e-14,5.83729304909e-17,3.82320837212e-17,1.68538168998e-19,2.44423356786e-17,2.33825337088e-13,6.89703060627e-14,1.80174404098e-15,3.34266809122e-10,3.33045656651e-17,-5.26435259294e-21,1.01518675905e-15,2.59207353065e-19,2.56145586457e-18,2.00126904049e-19,6.46090277961e-17,-2.33884615521e-16,-8.15126810829e-18,0.714819903394,0.0,5.51170952131e-13,4.16769878113e-09,6.30218280636e-12,1.21504061638e-10
0.001875,18.5267062845,0.0,1451.52141413,1.1599797873197126,6.35777186291e-05,1.05926313526e-07,8.8682239814e-08,0.189828026912,2.69655271795e-07,0.000320847312569,8.15284176343e-06,4.98289486417e-07,1.32234985353e-21,6.83510471126e-16,2.37309661093e-10,3.5583923307e-11,7.9813694112e-05,0.0945752142598,3.00453927503e-05,4.64931041763e-07,4.05935116178e-09,0.000191262186114,3.44048297281e-11,4.15082247682e-08,2.38403486008e-06,5.32215125912e-16,8.29830007318e-09,2.74341706148e-11,8.25407560525e-06,4.00649737553e-08,7.91636821983e-05,1.35686797274e-13,3.6152458757e-08,4.46649327572e-13,1.14379780266e-16,1.96267909484e-16,2.66069460897e-18,2.45868109118e-17,5.37797628539e-13,2.16383619997e-13,1.07699061023e-14,8.97422328944e-10,1.71595501245e-16,8.70770495286e-23,4.40984844067e-15,8.75367639494e-19,6.65645250092e-18,4.84701262042e-19,6.41978098945e-17,-2.32484674852e-16,-2.30729506399e-18,0.714811669907,0.0,4.43219435697e-12,2.82165362387e-08,5.20211855915e-11,9.08554209772e-10
0.00234375,18.5363634515,0.0,1452.26808066,1.1593754552662625,9.28400787901e-05,1.3976087537e-07,1.08472179135e-07,0.189710227517,3.38610084271e-07,0.000456549502002,9.81122072649e-06,6.20828292425e-07,2.56226781831e-21,1.00193642833e-15,3.37366588553e-10,5.10940086409e-11,9.24568160388e-05,0.0943815840284,4.86905148296e-05,7.28908173424e-07,6.34850818903e-09,0.000264653833604,5.68903372931e-11,5.42694131745e-08,3.47666069874e-06,1.17058102677e-15,1.44845938079e-08,5.17906548521e-11,1.29236028202e-05,5.85439511315e-08,0.000117830828774,3.12650463025e-13,6.65714646126e-08,9.03197778103e-13,1.41977347951e-16,3.36152333649e-16,5.72272231552e-18,2.48758573976e-17,7.08723445443e-13,3.12761736369e-13,1.84895064072e-14,1.23892114143e-09,2.93698524729e-16,1.75691480378e-22,6.90235771815e-15,1.25803164066e-18,9.74239788204e-18,7.77703503548e-19,6.39507189721e-17,-2.30810686699e-16,1.18783338294e-18,0.714806766802,0.0,8.18436683571e-12,4.83447655864e-08,9.79851177839e-11,1.607223588e-09
0.0028125,18.548489108,0.0,1453.20332287,1.1586175397054788,0.000130064702751,1.77282994487e-07,1.28195978636e-07,0.189566834932,4.11706310646e-07,0.000622421385759,1.16974611081e-05,7.67007367263e-07,4.63181661202e-21,1.42704444224e-15,4.47047428034e-10,6.83773382299e-11,0.000103101147406,0.0941502934641,7.57339048116e-05,1.09354596e-06,9.27138604103e-09,0.000348401237313,8.84485737827e-11,6.83046000553e-08,4.8488655101e-06,2.43379225212e-15,2.46635417646e-08,9.0254128967e-11,1.93099711805e-05,8.02368142225e-08,0.000164837378385,6.80232865702e-13,1.19516565963e-07,1.84880810808e-12,1.71071677963e-16,5.37748089821e-16,1.23233486576e-17,2.58124092633e-17,8.9899190979e-13,4.35516953971e-13,3.11183996045e-14,1.64830184206e-09,4.70585132708e-16,3.23542685885e-22,1.0398149226e-14,1.68855730163e-18,1.38442680697e-17,1.31892735472e-18,6.36784648767e-17,-2.27277084985e-16,6.21507440118e-18,0.714799492098,0.0,1.39139397147e-11,7.84636547842e-08,1.7018638905e-10,2.72656699069e-09
0.00328125,18.5633901139,0.0,1454.34782552,1.1576875066337182,0.000176770048423,2.21533735077e-07,1.49824459312e-07,0.18939371807,4.95341785179e-07,0.000823182918211,1.38678164817e-05,9.44137614421e-07,8.27928455218e-21,2.03986971211e-15,5.77591550188e-10,8.91941527036e-11,0.000113231832579,0.0938765116596,0.000113443484336,1.59003941168e-06,1.3005893731e-08,0.000442654774498,1.32721069187e-10,8.47690938941e-08,6.54469895992e-06,4.87075108766e-15,4.08134452262e-08,1.5015761896e-10,2.78330617325e-05,1.07306321825e-07,0.000220054711107,1.41754981625e-12,2.07415769488e-07,3.73224373211e-12,2.04918673999e-16,8.34543249114e-16,2.55450444128e-17,2.85027301272e-17,1.12407741343e-12,5.91897824604e-13,5.11015003086e-14,2.1369034074e-09,7.30764815241e-16,5.75062629841e-22,1.52704032517e-14,2.21689970288e-18,1.97321195712e-17,2.27115499349e-18,6.34071315209e-17,-2.20134005303e-16,1.41353104003e-17,0.714788203232,0.0,2.25184970914e-11,1.21650952738e-07,2.817941995e-10,4.45528460575e-09
0.00375,18.5816115317,0.0,1455.74053397,1.1565522602264637,0.000235222007487,2.75806194668e-07,1.75019124188e-07,0.189184542556,5.95499713432e-07,0.00106615272585,1.63756367615e-05,1.15992344399e-06,1.5049798043e-20,2.97581412091e-15,7.42660422391e-10,1.15729353673e-10,0.000123754746445,0.0935524226644,0.000164872821781,2.26900841194e-06,1.78324963514e-08,0.000548424312875,1.95004723038e-10,1.04831679673e-07,8.63084352754e-06,9.52131470657e-15,6.5944344272e-08,2.43750045031e-10,3.9134114351e-05,1.42580465164e-07,0.000284047835757,2.8718722016e-12,3.49672196733e-07,7.39183641052e-12,2.4696510581e-16,1.28066387459e-15,5.08896114573e-17,3.56476049221e-17,1.400928716e-12,7.93815292395e-13,8.20550960524e-14,2.71944564033e-09,1.12126784175e-15,1.00998619215e-21,2.2154774809e-14,2.91049480931e-18,2.868505126e-17,3.91833277657e-18,6.31862025361e-17,-2.05902169877e-16,2.69165866738e-17,0.714771069177,0.0,3.54718997334e-11,1.8281509572e-07,4.54506260183e-10,7.10549077755e-09
0.00421875,18.6039464852,0.0,1457.43902456,1.1551637623082671,0.000308465092227,3.44180503761e-07,2.054816154e-07,0.188930498551,7.19031961765e-07,0.00136148028204,1.92985977112e-05,1.4250105688e-06,2.82392234718e-20,4.46984726488e-15,9.60011679528e-10,1.5086906786e-10,0.000135262433329,0.0931671578223,0.000234162355346,3.20856986851e-06,2.41674774313e-08,0.000667354894235,2.83254445586e-10,1.2990151936e-07,1.11989940125e-05,1.83990488348e-14,1.04720824109e-07,3.91588382057e-10,5.41387293496e-05,1.89858773973e-07,0.000357876528221,5.72845192172e-12,5.76979162567e-07,1.439451941e-11,3.01694829075e-16,1.96372169706e-15,9.80492744734e-17,5.35132789303e-17,1.75080910479e-12,1.05983621587e-12,1.29399257133e-13,3.41501209983e-09,1.71805642652e-15,1.78260645607e-21,3.21172347591e-14,3.8671824771e-18,4.2908152167e-17,6.7692318786e-18,6.31136912118e-17,-1.77736316668e-16,4.74295077737e-17,0.714745891138,0.0,5.51801544014e-11,2.69486236358e-07,7.24043153346e-10,1.11911471063e-08
0.004453125,18.6163119815,0.0,1458.37686022,1.1543964689116497,0.000349538652556,3.83765996082e-07,2.22644372192e-07,0.188790414668,7.89519871802e-07,0.00152435749297,2.08902588033e-05,1.57471710946e-06,3.88008936661e-20,5.50495433229e-15,1.09067276449e-09,1.72069835521e-10,0.000141316666697,0.0929570330365,0.000274160816801,3.76104069811e-06,2.79477591838e-08,0.000730404228693,3.38446020463e-10,1.44340670392e-07,1.26221765609e-05,2.49068649605e-14,1.2855184826e-07,4.89504499256e-10,6.27688723254e-05,2.18472744731e-07,0.000397442771565,7.84701877361e-12,7.18872383365e-07,1.91225911803e-11,3.34408057887e-16,2.41475800345e-15,1.30074520175e-16,6.6953300674e-17,1.95386982647e-12,1.21331433582e-12,1.58361690213e-13,3.79463164744e-09,2.10953826516e-15,2.3352001144e-21,3.81445811242e-14,4.46424839552e-18,5.27259591202e-17,8.63059028727e-18,6.31407641207e-17,-1.58318927726e-16,6.03914570668e-17,0.714730738832,0.0,6.78184479722e-11,3.21040663749e-07,9.00645060469e-10,1.37277652832e-08
0.0046875,18.6300261611,0.0,1459.41425751,1.1535466794184022,0.000395623835487,4.28741122075e-07,2.41811145632e-07,0.188635613021,8.68870525136e-07,0.00170435138707,2.26235177146e-05,1.74215900701e-06,5.3888169202e-20,6.83910057572e-15,1.24312725594e-09,1.96853761094e-10,0.00014775882713,0.0927274050942,0.000320301305067,4.41333968245e-06,3.23149184025e-08,0.000797340315612,4.04367767656e-10,1.60662185735e-07,1.42013885392e-05,3.38258530559e-14,1.57886823021e-07,6.12994956285e-10,7.27126828743e-05,2.51955472325e-07,0.000439846720593,1.07825648718e-11,8.96137089845e-07,2.55170527049e-11,3.72661646516e-16,2.97828538886e-15,1.7337011282e-16,8.71819458292e-17,2.18503463439e-12,1.39154813438e-12,1.93793700446e-13,4.20954210168e-09,2.59962534573e-15,3.08043788058e-21,4.5495190977e-14,5.18268828299e-18,6.53454370813e-17,1.10722479911e-17,6.32614265342e-17,-1.31496829144e-16,7.6657206334e-17,0.714712620748,0.0,8.34710354867e-11,3.82478807885e-07,1.12165183822e-09,1.68883781996e-08
0.004921875,18.6452781282,0.0,1460.56490157,1.1526030702148373,0.000447477449886,4.80138702141e-07,2.63357017791e-07,0.188464034488,9.58705348089e-07,0.00190383139605,2.45167445703e-05,1.92968467212e-06,7.57427947034e-20,8.57761406073e-15,1.42245933512e-09,2.26052833902e-10,0.000154664318981,0.0924757896675,0.000373560334306,5.18744877418e-06,3.73895691757e-08,0.000868531323605,4.83462846643e-10,1.79208763777e-07,1.59572006651e-05,4.61304297837e-14,1.94113868518e-07,7.6970255606e-10,8.42003360059e-05,2.91338513622e-07,0.000485316845744,1.48728272786e-11,1.11809728028e-06,3.41964292944e-11,4.17888613377e-16,3.68510665677e-15,2.31837864288e-16,1.17701129818e-16,2.44978593173e-12,1.6000953958e-12,2.3721116965e-13,4.66391869719e-09,3.21361365555e-15,4.09767800052e-21,5.45472024149e-14,6.05740919483e-18,8.17401995765e-17,1.42984550819e-17,6.35196416325e-17,-9.43261087304e-17,9.69881065627e-17,0.714690994538,0.0,1.02975861974e-10,4.55905157715e-07,1.39961432228e-09,2.08464208153e-08
