z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,4.7625759865,0.0,1083.0,0.3109466438477651,1.12006465606e-11,2.65729377462e-13,9.16185599274e-14,0.190114067828,2.57323286542e-13,5.14736385658e-11,5.79801541372e-10,1.20977194617e-11,7.69312517174e-15,4.11455468449e-26,3.25697345395e-16,4.01123172083e-21,6.82468983501e-10,0.0950570334743,-9.72401726523e-15,2.78106820003e-17,2.37314360114e-18,2.89645679468e-11,4.68892183097e-22,1.70709736628e-14,6.83098070851e-14,8.4444594407e-15,-1.01343787178e-15,3.28284601481e-26,1.89799883653e-15,1.41916254366e-17,5.71622101334e-14,-2.61420072342e-28,5.09422502383e-16,-1.07288088865e-15,3.57347377555e-15,3.7988468615e-26,7.50476509168e-17,4.82801664242e-18,3.0032441677e-20,2.80792041135e-16,2.20044867623e-15,6.07663135041e-17,1.42557701498e-24,7.17508248513e-17,-1.10916535353e-18,1.51720355142e-23,2.28565292991e-28,-4.58580646353e-19,-1.23366794637e-19,-2.73033075733e-17,4.36328251951e-18,0.71482889733,0.0,-2.4091706766e-25,-2.37679678765e-15,3.82794046617e-25,-8.31619967842e-18
0.0005,4.76257578785,0.0,1082.99995475,0.3109466568174254,5.10331072502e-11,8.04268526879e-13,8.50417871846e-13,0.190114059789,2.42944067196e-12,5.59286263355e-10,7.98213390066e-09,1.676554029e-10,8.5970686851e-19,3.60790854694e-25,6.09459608543e-19,4.94243179863e-20,8.58644392524e-09,0.0950570251184,1.18807903195e-13,4.67962576098e-16,3.74836757032e-17,4.60629901612e-10,7.59432135208e-21,2.76486710833e-13,1.11777914742e-12,2.82320472309e-18,-1.01343714268e-15,5.3627859291e-25,1.21603294014e-14,2.51394198205e-16,8.26448005138e-13,-2.94385740308e-27,5.09422009485e-16,-1.07288087839e-15,3.66574567657e-17,3.37078006934e-25,7.50476467239e-17,4.82801485141e-18,4.25273650152e-19,3.91979846121e-15,2.20054835202e-15,1.03674419545e-15,1.96515886486e-23,4.57133648359e-20,-1.08424656509e-18,2.4353403356e-22,2.57513233055e-27,-4.58580644265e-19,-1.2336679232e-19,-2.73033065721e-17,7.39455070242e-17,0.714828897279,0.0,-5.4487939966e-24,-2.37673999712e-15,7.13299753995e-24,-8.31544504032e-18
0.001,4.76257559894,0.0,1082.99991165,0.31094666915106917,1.19027279614e-10,1.41875313266e-12,1.63103178114e-12,0.190114051309,4.85038366509e-12,1.55018010235e-09,1.52456152847e-08,4.48179910281e-10,9.23089145205e-23,7.05526215277e-25,1.45860058326e-18,1.88679903289e-19,1.67905209386e-08,0.0950570160415,4.11157330101e-13,1.56678964821e-15,9.62817897972e-17,1.29719759134e-09,3.58671633295e-20,5.71137273586e-13,3.25583783921e-12,9.21255922733e-22,-1.01343474123e-15,4.32838698196e-24,4.98434206406e-14,9.64886495013e-16,3.65280978344e-12,-5.93437946195e-27,5.0942425879e-16,-1.07288084844e-15,3.62378179684e-19,5.94294595932e-25,7.50476355855e-17,4.82801614196e-18,7.51395470144e-19,3.9594701603e-15,2.20074012373e-15,2.83557485099e-15,4.04586560056e-23,2.83312605504e-23,-1.08349733705e-18,7.46142648836e-24,5.03646640963e-27,-4.58580640218e-19,-1.2336678906e-19,-2.7303303498e-17,7.10679725286e-17,0.714828897183,0.0,5.92698960459e-24,-2.37654801461e-15,5.71992997373e-23,-8.31445065661e-18
0.002125,4.76257522685,0.0,1082.99982629,0.31094669344496056,4.2411157776e-10,3.07672767248e-12,3.58308552396e-12,0.190114029867,1.12520476347e-11,6.47780715344e-09,3.09211973458e-08,1.58764113958e-09,4.32549620189e-27,1.5498893249e-24,7.26793072956e-18,9.46750928244e-19,3.68801562364e-08,0.0950569917181,2.91162117745e-12,1.26872844626e-14,4.03101875435e-16,5.36468082668e-09,2.57850177739e-19,1.395069184e-12,1.46120101451e-11,1.31919283345e-25,-1.01339489439e-15,8.13641855516e-23,4.23624046935e-13,4.70452071966e-15,3.16634710764e-11,-1.09015277507e-26,5.09511331131e-16,-1.07288068833e-15,1.57822193779e-21,1.26476921e-24,7.50475756064e-17,4.82803411208e-18,1.62680599866e-18,3.96499613021e-15,2.20160110263e-15,1.07734087762e-14,8.64973554569e-23,7.71658317912e-27,-1.08340408489e-18,1.58266251595e-25,1.10653127983e-26,-4.58580620314e-19,-1.23366774784e-19,-2.73032798737e-17,6.50424136136e-17,0.71482889669,0.0,2.57538265426e-22,-2.37332166425e-15,1.07955651203e-21,-8.3074805871e-18
0.00325,4.7625749173,0.0,1082.99975457,0.3109467136551571,9.72356217173e-10,5.1107934593e-12,5.77403895831e-12,0.190114005713,1.86678138744e-11,1.46441895456e-08,4.59128672609e-08,3.14789478094e-09,1.99692462047e-31,2.47254285998e-24,1.89314733592e-17,2.47848756647e-18,5.88188079893e-08,0.0950569628723,8.5857193268e-12,4.17134200354e-14,9.08572923269e-16,1.1936456717e-08,8.09202958896e-19,2.43772332552e-12,3.44708219506e-11,-4.0396039168e-28,-1.01324991717e-15,4.24110327463e-22,1.37860054764e-12,1.19955828758e-14,1.0305218247e-10,-1.52793964148e-26,5.09992333082e-16,-1.07288041718e-15,1.22942291749e-23,2.02721796137e-24,7.50475304782e-17,4.82808076088e-18,2.69591724254e-18,3.96922579696e-15,2.20288093223e-15,2.25101455697e-14,1.31030048699e-22,1.29222723836e-29,-1.08328403055e-18,1.22816786255e-25,1.76535314058e-26,-4.58580586715e-19,-1.23366751354e-19,-2.7303230835e-17,5.95302391761e-17,0.714828895803,0.0,1.38083410353e-21,-2.36031925972e-15,5.6364180317e-21,-8.2836602723e-18
0.0055,4.76257460871,0.0,1082.99967785,0.3109467338028058,4.27527782666e-09,1.05548458889e-11,1.11302146283e-11,0.190113944476,3.71680434346e-11,4.65042118843e-08,7.32689234946e-08,7.36862327143e-09,9.67101862621e-34,4.66316792299e-24,6.94926001986e-17,9.16130473884e-18,1.10785612859e-07,0.0950568841127,4.3498544118e-11,2.46983138697e-13,2.89624037361e-15,3.69666956533e-08,3.808211192e-18,5.32179134461e-12,1.19846585466e-10,-8.39789875573e-28,-1.01143506135e-15,4.62585751061e-21,7.9326499612e-12,4.27073786717e-14,5.92883382065e-10,-2.08736624395e-26,5.19215703699e-16,-1.07287930477e-15,7.7420234867e-24,3.93724080775e-24,7.50510294943e-17,4.82863125978e-18,5.5426480818e-18,3.97447462227e-15,2.20694393691e-15,5.97563203578e-14,2.13941366311e-22,1.75826681237e-29,-1.08283198978e-18,2.3062966173e-25,3.32973115336e-26,-4.58580432716e-19,-1.2336665565e-19,-2.73029382252e-17,5.02180377715e-17,0.714828891413,0.0,1.50995412231e-20,-2.19722088432e-15,6.17475497869e-20,-7.99865458994e-18
0.006625,4.76257457997,0.0,1082.99965909,0.31094673567910724,1.44344835804e-08,1.38755234989e-11,1.41299586999e-11,0.190113908734,4.75181771142e-11,6.69123044559e-08,8.62477565698e-08,9.6950456559e-09,1.5886823707e-33,5.85488897016e-24,1.10614348446e-16,1.46175355698e-17,1.38936461577e-07,0.0950568379729,6.89650228835e-11,4.10785460704e-13,4.20436187465e-15,5.28600022563e-08,6.37204002547e-18,7.10792983479e-12,1.76974345204e-10,-1.07185513647e-27,-1.00979008752e-15,9.60289181924e-21,1.31011271075e-11,6.717776905e-14,9.79018705121e-10,-2.03579046678e-26,5.28840047739e-16,-1.07287856623e-15,8.983215434e-24,5.03421748612e-24,7.5107984166e-17,4.83337539964e-18,7.27478837586e-18,3.97634209777e-15,2.20933851472e-15,8.17227593546e-14,2.53855556053e-22,2.03923787131e-29,-1.08241413684e-18,2.89541893312e-25,4.18086222985e-26,-4.58579915582e-19,-1.23366578557e-19,-2.73026012746e-17,4.59597533477e-17,0.714828882886,0.0,3.12855900954e-20,-2.03595120925e-15,1.28204293038e-19,-7.714568289e-18
0.00775,4.76257496119,0.0,1082.99966168,0.3109467107896164,9.59495145201e-08,1.76633926087e-11,1.74173777183e-11,0.190113855845,5.88218160623e-11,9.20672567492e-08,9.85372738195e-08,1.21798097587e-08,2.46780981695e-33,7.14443440297e-24,1.6582487972e-16,2.19567873466e-17,1.69259832763e-07,0.0950567784593,1.04245717882e-10,6.54837833565e-13,5.84766344603e-15,7.23694285254e-08,9.93353468947e-18,9.15996943341e-12,2.50357479465e-10,-1.32287781625e-27,-1.00677498608e-15,1.85479162874e-20,2.07300937261e-11,9.97740314914e-14,1.54886785229e-09,-1.34317153275e-26,5.47250303826e-16,-1.07287755465e-15,1.03947820886e-23,6.30378890981e-24,7.62033242858e-17,4.94159745397e-18,9.24773493315e-18,3.97764564238e-15,2.21207060047e-15,1.06822001295e-13,2.9238336512e-22,2.29602238692e-29,-1.07733341517e-18,3.5307295386e-25,5.10193456867e-26,-4.58564162635e-19,-1.23365995514e-19,-2.73009917874e-17,4.20590382459e-17,0.714828823305,0.0,6.0328077848e-20,-1.74651944196e-15,2.47915252157e-19,-7.19415367769e-18
0.0083125,4.76257623392,0.0,1082.99966886,0.31094662769372206,3.76500226324e-07,1.97315139714e-11,1.91499224056e-11,0.190113783335,6.47489423295e-11,1.05948498213e-07,1.04500845581e-07,1.34561425789e-08,3.01603514594e-33,7.81639106783e-24,1.98972987113e-16,2.63691564449e-17,1.84989946257e-07,0.0950567229459,1.24761680225e-10,8.01735722974e-13,6.76903781273e-15,8.31009836228e-08,1.20893114962e-17,1.02766603495e-11,2.91607409974e-10,-1.44932707344e-27,-1.00201810232e-15,2.47634635206e-20,2.53008223359e-11,1.1919720749e-13,1.89014030009e-09,-5.73295220711e-27,5.59819944353e-16,-1.07287660449e-15,1.11475719594e-23,7.25305867e-24,8.41837364781e-17,5.93718572188e-18,1.03240741126e-17,3.97959765362e-15,2.21352647292e-15,1.20154319589e-13,3.12841814898e-22,2.41506194914e-29,-1.01515547537e-18,3.86198761393e-25,5.58191832499e-26,-4.58345698155e-19,-1.23359005412e-19,-2.72965468431e-17,4.01944727006e-17,0.714828622776,0.0,8.04735816179e-20,-1.55694108748e-15,3.31074544877e-19,-6.74556344375e-18
0.008875,4.7625824586,0.0,1082.99968212,0.3109462212871072,1.77563075919e-06,2.20009725197e-11,2.09780468109e-11,0.190113499618,7.09283560025e-11,1.21189700427e-07,1.10288269264e-07,1.47597382049e-08,3.66351706054e-33,8.51502194021e-24,2.36571720944e-16,3.13779341848e-17,2.01281286436e-07,0.095056553431,1.48600511514e-10,9.77021235535e-13,7.78818553283e-15,9.48297947473e-08,1.45564476009e-17,1.14620056805e-11,3.37613726258e-10,-1.49890342321e-27,-9.45985077032e-16,3.27344030958e-20,3.0710409747e-11,1.41162949883e-13,2.29390156483e-09,2.56242307454e-26,5.80843925308e-16,-1.0728712271e-15,1.19500851026e-23,1.11067028693e-23,1.64266596455e-16,1.86385571811e-17,1.15043151876e-17,4.00384581191e-15,2.21515949212e-15,1.34235585653e-13,3.51489324831e-22,2.62779396486e-29,8.68094502242e-20,4.22912414193e-25,6.08098283558e-26,-4.54200578907e-19,-1.23227535966e-19,-2.72543464771e-17,3.84033404797e-17,0.714827626034,0.0,1.06291232625e-19,-1.31280034234e-15,4.37930943128e-19,-3.99822864949e-18
0.0094375,4.76261333303,0.0,1082.99970187,0.3109442055267532,8.7668405731e-06,2.48313912865e-11,2.29973680056e-11,0.190112164054,7.74327403563e-11,1.38309243477e-07,1.15908909054e-07,1.60851226916e-08,4.48824365227e-33,9.24276215368e-24,2.79171476686e-16,3.70610849052e-17,2.18149170265e-07,0.0950558206693,1.79332019096e-10,1.19722836448e-12,8.90990931715e-15,1.07577214483e-07,1.73623228387e-17,1.27173120326e-11,3.88622028959e-10,5.16879971032e-29,2.94729974491e-17,4.28517988989e-20,3.70546316573e-11,1.65868956548e-13,2.76663093403e-09,4.64646378045e-25,6.99876229378e-16,-1.0727922703e-15,1.28470072779e-23,4.91322691237e-23,9.67845533811e-16,1.80846234763e-16,1.29743768931e-17,4.37789821583e-15,2.2184413385e-15,1.49037801754e-13,7.02711277e-22,4.7445402246e-29,1.96685197571e-17,5.0137679133e-25,6.6008937258e-26,-3.75507669369e-19,-1.20734488939e-19,-2.66392544116e-17,3.66549540031e-17,0.714822648895,0.0,1.39006224119e-19,-1.00162294046e-15,5.73890046833e-19,4.488758947e-17
0.00971875,4.76267494502,0.0,1082.99971453,0.3109401830206203,2.27465759368e-05,2.71575224634e-11,2.42619273703e-11,0.190109525703,8.09465829096e-11,1.49636329347e-07,1.18684138018e-07,1.67529302164e-08,5.1093551737e-33,9.62049737423e-24,3.02819870775e-16,4.02273986538e-17,2.26803678764e-07,0.0950544006456,2.16277939035e-10,1.41640860147e-12,9.5014631222e-15,1.14221199639e-07,1.88955283842e-17,1.33725189441e-11,4.15555763584e-10,1.22153140983e-26,6.74918773436e-15,4.88132576063e-20,4.05611593809e-11,1.79306023061e-13,3.02251268009e-09,3.63932250867e-24,1.48491319692e-15,-1.07221293471e-15,1.3418754075e-23,3.67645105326e-22,4.09425839178e-15,9.75478474246e-16,1.41802636313e-17,6.60969397972e-15,2.22948920596e-15,1.56623310152e-13,5.94689981114e-21,1.90727828301e-28,1.52623438698e-16,7.87182243413e-25,6.8708202122e-26,1.94608499933e-19,-1.02676909711e-19,-2.25106622854e-17,3.57957251933e-17,0.714812697135,0.0,1.58194697848e-19,-8.11495802059e-16,6.54459525004e-19,4.30495060602e-16
0.009859375,4.76275193097,0.0,1082.99972442,0.3109351569289414,4.02196812061e-05,2.92463606603e-11,2.51506746311e-11,0.190106235782,8.29507608781e-11,1.60974317541e-07,1.20071810176e-07,1.70883448139e-08,5.61773379633e-33,9.82212815973e-24,3.15997679818e-16,4.200178428e-17,2.31340095509e-07,0.0950526363816,2.96224740845e-10,1.88862000082e-12,9.80736866623e-15,1.17623759546e-07,1.97123902304e-17,1.37162255201e-11,4.29572775106e-10,5.86832628236e-26,3.16310449729e-14,5.24098139629e-20,4.265701157e-11,1.86552893401e-13,3.15720028858e-09,1.61207078531e-23,4.73929643508e-15,-1.06981976966e-15,1.38328475329e-23,3.66164904177e-21,1.09603699777e-14,3.11924039648e-15,1.52617504126e-17,1.38259305049e-14,2.26487248627e-15,1.60467231037e-13,5.62397606219e-20,7.24792482157e-28,6.37231625372e-16,1.6793563523e-24,7.01496241319e-26,2.40237240394e-18,-3.2753163791e-20,-6.73066067087e-18,3.54787946938e-17,0.714800256978,0.0,1.69688915722e-19,-6.36892096534e-16,7.03561111669e-19,2.06285121858e-15
